SiteID,SiteCode,SiteName,Latitude,Longitude,LatLongDatumID,Elevation_m,VerticalDatum,LocalX,LocalY,LocalProjectionID,PosAccuracy_m,State,County,Comments,SiteType
1,TRIAN                                             ,Tri An                                                                                                                                                                                                                                                         ,11.08,107.06,3,,,,,229,,,,,
2,VUNGTAU                                           ,Vung Tau                                                                                                                                                                                                                                                       ,10.367,107.083,3,,,,,229,,,,,
3,BIENHOA                                           ,Bien Hoa                                                                                                                                                                                                                                                       ,10.917,106.817,3,,,,,229,,,,,
4,LONGKHANH                                         ,Long Khanh                                                                                                                                                                                                                                                     ,10.93,107.23,3,,,,,229,,,,,
5,PHUOCLONG                                         ,Phuoc Long                                                                                                                                                                                                                                                     ,11.833,106.733,3,,,,,229,,,,,
6,NHABE                                             ,Nha Be                                                                                                                                                                                                                                                         ,10.7,106.733,3,,,,,229,,,,,
7,TANSONHOA                                         ,Tan Son Hoa                                                                                                                                                                                                                                                    ,10.81,106.667,3,,,,,229,,,,,
9,LANGA                                             ,La Nga                                                                                                                                                                                                                                                         ,11.15,107.46,3,,,,,229,,,,,
10,LONGTHANH                                         ,Long Thanh                                                                                                                                                                                                                                                     ,10.75,106.933,3,,,,,229,,,,,
11,THONGNHAT                                         ,Thong Nhat                                                                                                                                                                                                                                                     ,10.95,107,3,,,,,229,,,,,
12,BENCAT                                            ,Ben Cat                                                                                                                                                                                                                                                        ,11.15,106.583,3,,,,,229,,,,,
13,LONGSON                                           ,Long Son                                                                                                                                                                                                                                                       ,10.833,106.833,3,,,,,229,,,,,
14,PHUOCHOA                                          ,Phuoc Hoa                                                                                                                                                                                                                                                      ,11.233,106.767,3,,,,,229,,,,,
15,TANUYEN                                           ,Tan Uyen                                                                                                                                                                                                                                                       ,11.05,106.8,3,,,,,229,,,,,
16,CATLAI                                            ,Cat Lai                                                                                                                                                                                                                                                        ,10.75,106.783,3,,,,,229,,,,,
17,MACDINHCHI                                        ,Mac Dinh Chi                                                                                                                                                                                                                                                   ,10.78,106.7,3,,,,,229,,,,,
18,TAMTHONHIEP                                       ,Tam Thon Hiep                                                                                                                                                                                                                                                  ,10.567,106.883,3,,,,,229,,,,,
19,PHUAN                                             ,Phu An                                                                                                                                                                                                                                                         ,10.76666667,106.7,3,,,,,229,,,,,
20,BINHSON                                           ,Binh Son                                                                                                                                                                                                                                                       ,10.7915,107.0248611,3,,,,,229,,,,,
21,LO25                                              ,Lo 25                                                                                                                                                                                                                                                          ,10.94030556,107.2405556,3,,,,,229,,,,,
22,HANGGON                                           ,Hang Gon                                                                                                                                                                                                                                                       ,10.892,107.2172222,3,,,,,229,,,,,
23,BINHSON_WQ                                        ,Binh Son                                                                                                                                                                                                                                                       ,10.793467,107.013433,3,,,,,229,,,,,
24,SUOICA                                            ,Suoi Ca                                                                                                                                                                                                                                                        ,10.73275,107.0139,3,,,,,229,,,,,
26,VEDAN                                             ,Vedan                                                                                                                                                                                                                                                          ,10.659217,107.016,3,,,,,229,,,,,
27,PHUMY                                             ,Phu My                                                                                                                                                                                                                                                         ,10.593061,107.02862,3,,,,,229,,,,,
28,DADEN                                             ,Da Den                                                                                                                                                                                                                                                         ,10.6285,107.159898,3,,,,,229,,,,,
29,BINHBA                                            ,Binh Ba                                                                                                                                                                                                                                                        ,10.63333333,107.15,3,,,,,229,,,,,
30,CHAUDUC                                           ,Chau Duc                                                                                                                                                                                                                                                       ,10.5,107.2833333,3,,,,,229,,,,,
31,VUNGTAU_H                                         ,Vung Tau                                                                                                                                                                                                                                                       ,10.3426641,107.0710611,3,,,,,229,,,,,
32,LONGTHO                                           ,Long Tho                                                                                                                                                                                                                                                       ,10.707611,106.973963,3,,,,,229,,,,,
33,CAIMEP                                            ,Cai Mep                                                                                                                                                                                                                                                        ,10.53415,107.02225,3,,,,,229,,,,,
8,CAMMY                                             ,Cam My                                                                                                                                                                                                                                                         ,10.76,107.25,3,,,,,229,,,,,
25,CAUVAC                                            ,Cau Vac                                                                                                                                                                                                                                                        ,10.6739,107.067267,3,,,,,229,,,,,
34,VT4B                                              ,VT4B                                                                                                                                                                                                                                                           ,10.544344,107.064782,3,,,,,229,,,,,
35,VT6                                               ,VT6                                                                                                                                                                                                                                                            ,10.515381,107.087369,3,,,,,229,,,,,
36,VT7A                                              ,VT7A                                                                                                                                                                                                                                                           ,10.367791,107.084111,3,,,,,229,,,,,
37,VT7B                                              ,VT7B                                                                                                                                                                                                                                                           ,10.367777,107.084096,3,,,,,229,,,,,
38,NB1A                                              ,NB1A                                                                                                                                                                                                                                                           ,10.63167,107.040943,3,,,,,229,,,,,
39,NB1B                                              ,NB1B                                                                                                                                                                                                                                                           ,10.631677,107.040956,3,,,,,229,,,,,
40,NB2A                                              ,NB2A                                                                                                                                                                                                                                                           ,10.646203,107.035451,3,,,,,229,,,,,
41,NB2B                                              ,NB2B                                                                                                                                                                                                                                                           ,10.646212,107.035469,3,,,,,229,,,,,
42,NB3B                                              ,NB3B                                                                                                                                                                                                                                                           ,10.59243,107.040421,3,,,,,229,,,,,
44,VT2A                                              ,VT2A                                                                                                                                                                                                                                                           ,10.639533,107.087733,3,,,,,229,,,,,
47,DN27                                              ,DN27                                                                                                                                                                                                                                                           ,10.72424,106.92984,3,,,,,229,,,,,
48,DN30                                              ,DN30                                                                                                                                                                                                                                                           ,10.669078,106.978173,3,,,,,229,,,,,
49,M7                                                ,M7                                                                                                                                                                                                                                                             ,10.491012,107.173206,3,,,,,229,,,,,
45,QT11A                                             ,QT11A                                                                                                                                                                                                                                                          ,10.623716,107.057428,3,,,,,229,,,,,
46,QT7A                                              ,QT7A                                                                                                                                                                                                                                                           ,10.578349,107.048045,3,,,,,229,,,,,
43,NB4B                                              ,NB4B                                                                                                                                                                                                                                                           ,10.579145,107.136453,3,,,,,229,,,,,
